# airports.tab	main airports list

# This file is part of Tripover, a broad-search journey planner.

#  Copyright (C) 2014-2016 Joris van der Geer.

# This file is used by gtfstool when creating gtfs feeds from air timetables
# derived partially from openflights.org and ourairports.com  res.taca.com/zed/app/codes.html

# name	code	cc	lat	lon	utcofs	citydst	lat	lon

Annaba	AAE	dz	36.8222007751465	7.8091697692	Africa/Algiers
Anqing	AQG	cn	30.584459	117.051554	Asia/Shanghai	aqg_rail	30.549568	117.066663
Anshan	AOG	cn	41.103248	122.861018	Asia/Shanghai	aog_rail	41.108695	122.983441
Anshun Huangguoshu	AVA	cn	26.254780	105.873116	Asia/Shanghai	ava_rail	26.229569	105.944853
Antalya	AYT	tr	36.909011	30.802447	Europe/Istanbul
Antananarivo	TNR	mg	-18.799733	47.475202	Indian/Antananarivo
Antigua	ANU	ag	17.140432	-61.792518	America/Antigua
Antofagasta	ANF	cl	-23.451403	-70.440837	America/Santiago
Antwerp	ANR	be	51.188424	4.451237	Europe/Brussels	anr_berchem	51.199858	4.432108
=Antwerp ZWE
Aomori	AOJ	jp	40.739118	140.689964	Asia/Tokyo
Apia	APW	ws	-13.832063	-172.010766	Pacific/Apia
Appleton	ATW	us	44.260304	-88.511124	America/Chicago
Aqaba	AQJ	jo	29.609473	35.020702	Asia/Amman
Aracaju	AJU	br	-10.984	-37.07033	America/Noronha
Arar	RAE	sa	30.903464	41.136114	Asia/Riyadh
Arequipa	AQP	pe	-16.344867	-71.566947	America/Lima
Arica	ARI	cl	-18.510291	-70.286854	America/Santiago
Arkhangelsk	ARH	ru	64.595944	40.715009	Europe/Moscow	arh_central	64.550361	40.575168
Armenia	AXM	co	4.453181	-75.767992	America/Bogota
Armidale	ARM	au-nsw	-30.532346	151.614756	Australia/Sydney	arm_railway	-30.515350	151.652137
Arnhem All airports	QAR-bus	nl	51.984297	5.900286	Europe/Amsterdam
=Arnhem Bus Station QAR
Aruba	AUA	aw	12.503143	-70.007735	America/Aruba
Asahikawa	AKJ	jp	43.67083	142.4475	Asia/Tokyo
Asheville	AVL	us	35.434997	-82.538191	America/New_York
Ashgabad	ASB	tm	37.984433	58.366820	Asia/Ashgabat
=Ashgabat ASB
Asmara	ASM	er	15.296519	38.904892	Africa/Asmara
Aspen	ASE	us	39.219840	-106.864041	America/Denver
Astana	TSE	kz	51.027873	71.463031	Asia/Almaty	tse_station	51.195482	71.410674
Astrakhan	ASF	ru	46.287684	47.999655	Europe/Volgograd	asf_astrakhan	46.360838	48.059521
Asturias	OVD	es	43.559476	-6.034424	Europe/Madrid
Asuncion	ASU	py	-25.241684	-57.514711	America/Asuncion
Athens	ATH	gr	37.937469	23.945609	Europe/Athens
Atlanta	ATL	us-ga	33.641157	-84.419716	America/New_York
Auckland	AKL	nz	-37.004670	174.783192	Pacific/Auckland	akl_Britomart	-36.844556	174.768837	40
Augusta	AGS	us	33.373308	-81.976127	America/New_York
Aurillac	AUR	fr	44.897903	2.420806	Europe/Paris
Austin	AUS	us-tx	30.202614	-97.666212	America/Chicago	aus_amtrak	30.269204	-97.756120
=Austin ASQ
Avalon	AVV	au-vic	-38.026442	144.473848	Australia/Melbourne	avv_lara	-38.021657	144.415075
Avignon	AVN	fr	43.904049	4.899188	Europe/Paris	avn_garesud	43.935672	4.839149
Avignon	XZN	fr	43.999702	4.756580	Europe/Paris	avn_garesud	43.935672	4.839149
Ayacucho	AYP	pe	-13.147502	-74.202526	America/Lima
Ayers Rock	AYQ	au-nt	-25.190855	130.976669	Australia/Darwin
Bijie	BFJ	cn	27.253	105.426	Asia/Shanghai
Badajoz	BJZ	es	38.883021	-6.815117	Europe/Madrid	bjz_centro	38.890204	-6.980813
Baghdad	BGW	iq	33.268529	44.230228	Asia/Baghdad	bgw_railway	33.336108	44.366071
Bahia Blanca	BHI	ar	-38.716781	-62.164432	America/Argentina/Buenos_Aires
Bahrain	BAH	bh	26.2707996	50.6335983	Asia/Bahrain
Baia Mare	BAY	ro	47.661027	23.466567	Europe/Bucharest
Baise	AEB	cn	23.716490	106.971447	Asia/Shanghai	aeb_tianyang	23.765855	106.937196
Baishan	NBS	cn	42.067370	127.611395	Asia/Shanghai	nbs_rail	41.927585	126.411886
Bakersfield	BFL	us	35.437897	-119.054131	America/Los_Angeles	bfl_amtrak	35.371838	-119.007266
Baku	GYD	az	40.464436	50.052364	Asia/Baku
Balikpapan	BPN	id	-1.261636	116.901303	Asia/Makassar
Ballina	BNK	au-nsw	-28.837697	153.556052	Australia/Sydney	
Balmaceda	BBA	cl	-45.913241	-71.694396	America/Santiago
Baltra Island	GPS	ec	-0.445252	-90.269940	Pacific/Galapagos
Bamako	BKO	ml	12.540983	-7.947709	Africa/Bamako
Banda Aceh	BTJ	id	5.52352	95.42037	Asia/Jakarta
Bandar Lampung	TKG	id	-5.24234	105.17894	Asia/Jakarta
Bandar Seri Begawan	BWN	bn	4.945926	114.932765	Asia/Brunei
=Bandar Seri begawan BWN
Bandung	BDO	id	-6.903660	107.578475	Asia/Jakarta
Bangalore	BLR	in	13.199446	77.709405	Asia/Kolkata
=Bengaluru BLR
Bangkok	BKK	th	13.693317	100.750891	Asia/Bangkok	bkk_ktm	13.740299	100.517467
Bangkok	DMK	th	13.9125996	100.6070023	Asia/Bangkok
Bangor	BGR	us	44.808343	-68.816193	America/New_York
Bangui	BGF	cf	4.399052	18.525296	Africa/Bangui
Banjarmasin	BDJ	id	-3.44236	114.76255	Asia/Makassar
Banjul	BJL	gm	13.33796	-16.65221	Africa/Banjul
Ban Me Thuot	BMV	vn	12.66831	108.12027	Asia/Ho_Chi_Minh
Banyuwangi Blimbingsari	BWX	id	-8.311805	114.340450	Asia/Jakarta
Baoshan	BSD	cn	25.051960	99.165372	Asia/Shanghai
Baotou	BAV	cn	40.564369	110.004849	Asia/Shanghai	bav_raildong	40.569634	110.024723
Barbados ¿ Bridgetown	BGI	bb	13.0746002197	-59.49250030	America/Barbados
=Bridgetown BGI
=Barbados Bridgetown BGI
Barcaldine	BCI	au-qld	-23.561001	145.300579	Australia/Brisbane	bci_station	-23.557110	145.291097
Barcelona	BCN	es	41.303296	2.076487	Europe/Madrid	bcn_sants	41.379076	2.139834
Bari	BRI	it	41.132991	16.766911	Europe/Rome	bri_quintino	41.117832	16.862913
Barnaul	BAX	ru	53.362134	83.547267	Asia/Omsk	bax_barnaul	53.351274	83.755707
Barranquilla	BAQ	co	10.886576	-74.776234	America/Bogota
Basel	BSL	fr	47.600014	7.532230	Europe/Paris	bsl_hbf	47.568217	7.607547
=Basel/mulhouse BSL
=Basel/Mulhouse BSL
=Basel/Mulhouse MLH
Basra	BSR	iq	30.552717	47.669151	Asia/Baghdad
=Basrah BSR
Bastia	BIA	fr	42.546906	9.480823	Europe/Paris	bia_bastia	42.701929	9.447433
Batam Batu Besar	BTH	id	1.12103	104.11875	Asia/Jakarta
Baton Rouge	BTR	us	30.533016	-91.156862	America/Chicago
Batticaloa	BTC	lk	7.70576	81.67880	Asia/Colombo
Batumi	BUS	ge	41.61028	41.59969	Asia/Tbilisi
Baubau	BUW	id	-5.48688	122.56900	Asia/Makassar
Bauru	JTC	br	-22.15778	-49.06833	America/Sao_Paulo
Beaumont	BPT	us	29.955676	-94.021562	America/Chicago
Beef Island	EIS	vg	18.444282	-64.539877	America/Tortola
Beihai	BHY	cn	21.540722	109.292545	Asia/Shanghai	bhy_beihai	21.452259	109.129581
Beijing	NAY	cn	39.791873	116.395792	Asia/Shanghai	nay_nanrail	39.863826	116.380133
Beijing	PEK	cn	40.080101	116.5849991	Asia/Shanghai	nay_nanrail	39.863826	116.380133
Beirut	BEY	lb	33.8209	35.4883995	Asia/Beirut
Belem	BEL	br-pa	-1.389764	-48.479884	America/Belem
Belfast	BFS	gb	54.662593	-6.217396	Europe/London	bfs_antrim	54.717610	-6.211035
Belfast	BHD	gb	54.614518	-5.870086	Europe/London	bhd_central	54.594439	-5.917368
Belgrade	BEG	rs	44.820677	20.291662	Europe/Belgrade	beg_centre	44.807952	20.454226
Belize	BZE	bz	17.535786	-88.310042	America/Belize
=Belize City BZE
Bellingham	BLI	us	48.795108	-122.533473	America/Vancouver
Belo Horizonte	CNF	br	-19.632416	-43.963183	America/Sao_Paulo
Bemidji	BJI	us	47.506453	-94.933491	America/Chicago
Bengkulu	BKS	id	-3.8637	102.33904	Asia/Jakarta
Bentota River	BJT	lk	6.41667	79.983333	Asia/Colombo
Berau	BEJ	id	2.1555	117.43226	Asia/Makassar
Bergen	BGO	no	60.289185	5.228376	Europe/Oslo	bgo_center	60.389425	5.336022
Bergerac	EGC	fr	44.822018	0.514335	Europe/Paris	egc_sncf	44.857641	0.488115
Berlin	SXF	de	52.364492	13.509443	Europe/Berlin	sxf_schonefeld	52.391082	13.514850
Berlin	TXL	de	52.553965	13.292513	Europe/Berlin	txl_hbf	52.521568	13.411008
Bermuda	BDA	bm	32.365340	-64.675756	Atlantic/Bermuda
Biak	BIK	id	-1.19002	136.108	Asia/Jayapura
Biarritz	BIQ	fr	43.471721	-1.530456	Europe/Paris	biq_estacion	43.459321	-1.545538
Bilbao	BIO	es	43.305424	-2.905668	Europe/Madrid	bio_derio	43.290682	-2.886463
Billings	BIL	us-mt	45.803427	-108.537345	America/Denver
Billund	BLL	dk	55.745782	9.147496	Europe/Copenhagen
Biloela	THG	au-qld	-24.490717	150.573504	Australia/Brisbane	thg_gladstone	-23.847227	151.262980
=Biloela ZBL
Bima	BMU	id	-8.53965	118.68732	Asia/Makassar
Bimini International, bahamas	BIM	bs	25.700905	-79.272479	America/Nassau
Binghamton	BGM	us	42.208218	-75.982217	America/New_York
Bintulu	BTU	my	3.12385	113.02047	Asia/Kuching
Birmingham	BHM	us-al	33.562494	-86.753276	America/Chicago	bhm_amtrak	33.512118	-86.806765
Birmingham	BHX	gb	52.451613	-1.732535	Europe/London
Bisha	BHH	sa	19.993923	42.618143	Asia/Riyadh
Bishkek	FRU	kg	43.054578	74.469200	Asia/Bishkek	fru_rail	42.863392	74.607630
Bismarck	BIS	us-nd	46.774821	-100.757100	America/Chicago
Blackall	BKQ	au-qld	-24.428038	145.433769	Australia/Brisbane	bkq_barcaldine	-23.557110	145.291097
Blagoveschensk	BQS	ru	50.422761	127.407700	Asia/Yakutsk	bqs_rail	50.287350	127.548131
Blantyre	BLZ	mw	-15.681646	34.974161	Africa/Blantyre
Bloomington-normal	BMI	us	40.483747	-88.913951	America/Chicago	bmi_amtrak	40.508727	-88.983749
=BloomingtonNormal BMI
Boa Vista	BVB	br	2.84631	-60.69007	America/Boa_Vista
Bodø	BOO	no	67.272814	14.367551	Europe/Oslo
Bodrum	BJV	tr	37.243812	27.673047	Europe/Istanbul
Bogota	BOG	co	4.698521	-74.142882	America/Bogota
Boise	BOI	us	43.567964	-116.222125	America/Boise
Bologna	BLQ	it	44.529265	11.294328	Europe/Rome	blq_centrale	44.506560	11.340548
Bolzano	BZO	it	46.461297	11.330452	Europe/Rome	bzo_sud	46.473490	11.326858
Bonaire	BON	bq	12.133422	-68.276650	America/Kralendijk
Bordeaux	BOD	fr	44.830127	-0.700693	Europe/Paris	bod_x	44.842087	-0.627222
=Bordeaux ZFQ
Boston	BOS	us-ma	42.364871	-71.019209	America/New_York
Bournemouth	BOH	gb	50.778012	-1.831814	Europe/London	boh_bournemounth	50.726938	-1.863490
Bozeman	BZN	us-mt	45.777452	-111.160109	America/Denver
Brainerd	BRD	us	46.392969	-94.140879	America/Chicago
Brandon	YBR	ca-mb	49.904539	-99.945779	America/Winnipeg
Brasilia	BSB	br	-15.869915	-47.920447	America/Sao_Paulo
Bratislava	BTS	sk	48.170043	17.199800	Europe/Bratislava	bts_petrzalka	48.121134	17.098519
Bratsk	BTK	ru	56.364398	101.704252	Asia/Irkutsk	btk_Падунские_Пороги	56.307850	101.727175
Brazzaville	BZV	cg	-4.259069	15.252154	Africa/Brazzaville
Bremen	BRE	de	53.049683	8.790669	Europe/Berlin	bre_hbf	53.083233	8.814100
Brest	BES	fr	48.445324	-4.417344	Europe/Paris	bes_releq	48.409283	-4.388962
#Bridgetown	BGI	bb	13.080620	-59.487383	America/Barbados
Brindisi	BDS	it	40.657684	17.938102	Europe/Rome	bds_centro	40.634193	17.939547
Brisbane	BNE	au-qld	-27.385210	153.119890	Australia/Brisbane	bne_Roma Street	-27.465623	153.019976
Brisbane_int	BNE	au-qld	-27.403109	153.109068	Australia/Brisbane	bne_Roma Street	-27.465623	153.019976
Bristol	BRS	gb	51.385134	-2.704316	Europe/London	brs_templemeads	51.449297	-2.580459
Bristol	TRI	us-tn	36.480831	-82.408077	America/New_York
=TriCity TRI
Brive la Gaillarde	BVE	fr	45.041549	1.490673	Europe/Paris	bve_sncf	45.152456	1.527319
Brize Norton	BZZ	gb	51.750292	-1.563726	Europe/London
Broome	BME	au-wa-	-17.952832	122.234534	Australia/Perth
Brownsville	BRO	us-tx	25.907073	-97.431498	America/Chicago
Brunswick	BQK	us-ga	31.254705	-81.466837	America/New_York
Brussels	BRU	be	50.897378	4.484241	Europe/Brussels	bru_midi	50.835316	4.335213
=Brussels ZYR
Bucaramanga	BGA	co	7.128534	-73.182093	America/Bogota
Bucharest	OTP	ro	44.570916	26.078368	Europe/Bucharest	otp_nord	44.446810	26.073197
Budapest	BUD	hu	47.432473	19.261153	Europe/Budapest	bud_keleti	47.500445	19.086559
Buenos Aires	AEP	ar	-34.556905	-58.417674	America/Argentina/Buenos_Aires	aep_retiro	-34.589835	-58.375317
Buenos Aires	EZE	ar	-34.813383	-58.541610	America/Argentina/Buenos_Aires	eze_retiro	-34.589835	-58.375317
Buerjin City Kanasi	KJI	cn	48.223578	87.002687	Asia/Chongqing
Buffalo	BUF	us-ny	42.933712	-78.732109	America/New_York	buf_depew	42.933712	-78.732109
Bujumbura	BJM	bi	-3.32402	29.31852	Africa/Bujumbura
